group	name	parent	label	depth	title	meaning	ALL	
animal	AnimalAnatomyMenu	piece of {organism} meat	{organism} foot	0	{organism} foot	FOODON:02010127		
animal	AnimalAnatomyMenu	{organism} foot	{organism} foot (raw)	1	. . {organism} foot (raw)	FOODON:02010142		
animal	AnimalAnatomyMenu	piece of {organism_base}	{organism} fat	0	{organism} fat	FOODON:02010033		
animal	AnimalAnatomyMenu	{organism} fat	{organism} fat (raw)	1	. . {organism} fat (raw)	FOODON:02010036		
animal	AnimalAnatomyMenu	{organism} fat	{organism} external fat	1	. . {organism} external fat	FOODON:02010034		
animal	AnimalAnatomyMenu	{organism} external fat	{organism} external fat (raw)	2	. . . . {organism} external fat (raw)	FOODON:02010037		
animal	AnimalAnatomyMenu	{organism} fat	{organism} seam fat	1	. . {organism} seam fat	FOODON:02010035		
animal	AnimalAnatomyMenu	{organism} seam fat	{organism} seam fat (raw)	2	. . . . {organism} seam fat (raw)	FOODON:02010038		
animal	AnimalAnatomyMenu	piece of {organism_base}	{organism} blubber	1	. . {organism} blubber	FOODON:02010039		DESTINED FOR SEAFOOD?
								
animal	ButcheryMenu	piece of {organism_base}	butchery cut of {organism}	0	butchery cut of {organism}	FOODON:03530146	TRUE	
animal	ButcheryMenu	butchery cut of {organism}	butchery cut of {organism} (raw)	1	. . butchery cut of {organism} (raw)	FOODON:02010306		
animal	ButcheryMenu	piece of {organism_base}	{organism} muscle tissue cut	1	. . {organism} muscle tissue cut	FOODON:02010032		
animal	ButcheryMenu	butchery cut of {organism}	{organism} primal cut	1	. . {organism} primal cut	FOODON:00001567		
animal	ButcheryMenu	{organism} primal cut	{organism} primal cut (raw)	2	. . . . {organism} primal cut (raw)	FOODON:02010307		
animal	ButcheryMenu	butchery cut of {organism}	{organism} sub-primal cut	1	. . {organism} sub-primal cut	FOODON:00004337		
animal	ButcheryMenu	{organism} sub-primal cut	{organism} sub-primal cut (raw)	2	. . . . {organism} sub-primal cut (raw)	FOODON:02010308		
animal	ButcheryMenu	butchery cut of {organism}	{organism} retail cut	1	. . {organism} retail cut	FOODON:00004338		
animal	ButcheryMenu	{organism} retail cut	{organism} retail cut (raw)	2	. . . . {organism} retail cut (raw)	FOODON:02010309		
animal	ButcheryMenu	{organism} retail cut	{organism} steak	2	. . . . {organism} steak	FOODON:02010310		
animal	ButcheryMenu	{organism} steak	{organism} steak (raw)	3	. . . . . . {organism} steak (raw)	FOODON:02010311		
animal	ButcheryMenu	{organism} retail cut	{organism} roast	2	. . . . {organism} roast	FOODON:02010312		
animal	ButcheryMenu	{organism} roast	{organism} roast (raw)	3	. . . . . . {organism} roast (raw)	FOODON:02010313		
animal	ButcheryMenu	{organism} roast	{organism} roast (boneless)	3	. . . . . . {organism} roast (boneless)	FOODON:02010314		
animal	ButcheryMenu	{organism} roast (boneless)	{organism} roast (boneless, raw)	4	. . . . . . . . {organism} roast (boneless, raw)	FOODON:02010315		
animal	ButcheryMenu	{organism} roast (boneless)	{organism} roast (boneless, seasoned, fresh frozen)	4	. . . . . . . . {organism} roast (boneless, seasoned, fresh frozen)	FOODON:02020036		TOO SPECIFIC?
animal	ButcheryMenu	{organism} retail cut	{organism} chop	2	. . . . {organism} chop	FOODON:02010317		
animal	ButcheryMenu	{organism} chop	{organism} chop (raw)	3	. . . . . . {organism} chop (raw)	FOODON:02010318		
animal	ButcheryMenu	{organism} chop	{organism} chop (boneless)	3	. . . . . . {organism} chop (boneless)	FOODON:02010319		
animal	ButcheryMenu	{organism} chop (boneless)	{organism} chop (boneless, raw)	4	. . . . . . . . {organism} chop (boneless, raw)	FOODON:02010320		
animal	ButcheryMenu	piece of {organism_base}	piece of {organism} meat	0	piece of {organism} meat	FOODON:02010107	TRUE	
animal	ButcheryMenu	piece of {organism} meat	piece of {organism} meat (raw)	1	. . piece of {organism} meat (raw)	FOODON:02010108		
animal	ButcheryMenu	piece of {organism} meat	piece of {organism} meat (skinless)	1	. . piece of {organism} meat (skinless)	FOODON:02010109		
animal	ButcheryMenu	piece of {organism} meat (skinless)	piece of {organism} meat (skinless, raw)	2	. . . . piece of {organism} meat (skinless, raw)	FOODON:02010110		
animal	ButcheryMenu	piece of {organism} meat	piece of {organism} meat (with skin)	1	. . piece of {organism} meat (with skin)	FOODON:02010111		
animal	ButcheryMenu	piece of {organism} meat (with skin)	piece of {organism} meat (with skin, raw)	2	. . . . piece of {organism} meat (with skin, raw)	FOODON:02010112		
animal	ButcheryMenu	piece of {organism} meat	piece of {organism} meat (with bone)	1	. . piece of {organism} meat (with bone)	FOODON:02010116		
animal	ButcheryMenu	piece of {organism} meat (with bone)	piece of {organism} meat (with bone, raw)	2	. . . . piece of {organism} meat (with bone, raw)	FOODON:02010117		
animal	ButcheryMenu	piece of {organism} meat	piece of {organism} meat (boneless)	1	. . piece of {organism} meat (boneless)	FOODON:02010113		
animal	ButcheryMenu	piece of {organism} meat (boneless)	piece of {organism} meat (boneless, raw)	2	. . . . piece of {organism} meat (boneless, raw)	FOODON:02020009		
animal	ButcheryMenu	piece of {organism} meat (boneless)	piece of {organism} meat (cubed)	2	. . . . piece of {organism} meat (cubed)	FOODON:02010114		
animal	ButcheryMenu	piece of {organism} meat (cubed)	piece of {organism} meat (cubed, raw)	3	. . . . . . piece of {organism} meat (cubed, raw)	FOODON:02010115		
animal	ButcheryMenu	piece of {organism} meat (boneless)	piece of {organism} meat (deboned)	2	. . . . piece of {organism} meat (deboned)	FOODON:02010118		
animal	ButcheryMenu	piece of {organism} meat (deboned)	piece of {organism} meat (deboned, raw)	3	. . . . . . piece of {organism} meat (deboned, raw)	FOODON:02020010		
animal	ButcheryMenu	piece of {organism} meat (deboned)	piece of {organism} meat (mechanically deboned)	3	. . . . . . piece of {organism} meat (mechanically deboned)	FOODON:02010119		
animal	ButcheryMenu	piece of {organism} meat (mechanically deboned)	piece of {organism} meat (mechanically deboned, raw)	4	. . . . . . . . piece of {organism} meat (mechanically deboned, raw)	FOODON:02010120		
animal	ButcheryMenu	piece of {organism} meat (mechanically deboned)	piece of {organism} meat (mechanically deboned, with skin, raw)	4	. . . . . . . . piece of {organism} meat (mechanically deboned, with skin, raw)	FOODON:02010121		
animal	ButcheryMenu	piece of {organism} meat (mechanically deboned)	piece of {organism} meat (mechanically deboned, skinless, raw)	4	. . . . . . . . piece of {organism} meat (mechanically deboned, skinless, raw)	FOODON:02010122		
animal	ButcheryMenu	butchery cut of {organism}	{organism} fillet	0	{organism} fillet	FOODON:02010016		
animal	ButcheryMenu	{organism} fillet	{organism} fillet (raw)	1	. . {organism} fillet (raw)	FOODON:02010017		
animal	ButcheryMenu	{organism} fillet	{organism} fillet (skinless)	1	. . {organism} fillet (skinless)	FOODON:02021802		
animal	ButcheryMenu	{organism} fillet (skinless)	{organism} fillet (skinless, raw)	2	. . . . {organism} fillet (skinless, raw)	FOODON:02021803		
animal	ButcheryMenu	{organism} fillet	{organism} fillet (with skin)	1	. . {organism} fillet (with skin)	FOODON:02021805		
animal	ButcheryMenu	{organism} fillet (with skin)	{organism} fillet (with skin, raw)	2	. . . . {organism} fillet (with skin, raw)	FOODON:02021806		
animal	ButcheryMenu	piece of {organism} meat	piece of dark {organism} meat	0	piece of dark {organism} meat	FOODON:02010203		
animal	ButcheryMenu	piece of dark {organism} meat	piece of dark {organism} meat (raw)	1	. . piece of dark {organism} meat (raw)	FOODON:02010204		
animal	ButcheryMenu	piece of dark {organism} meat	piece of dark {organism} meat (with skin)	1	. . piece of dark {organism} meat (with skin)	FOODON:02010205		
animal	ButcheryMenu	piece of {organism} meat (with skin)	piece of dark {organism} meat (with skin, raw)	1	. . piece of dark {organism} meat (with skin, raw)	FOODON:02010206		
animal	ButcheryMenu	piece of dark {organism} meat	piece of dark {organism} meat (skinless)	1	. . piece of dark {organism} meat (skinless)	FOODON:02010207		
