DISABLED	ID	parent class	label	Equivalence axiom	Equivalence Override	Subclass axiom	definition	comment	Exact Synonym	Broad Synonym	Minimum	Aves	Bovidae	Suina	Ursidae	Cervidae	Camelidae	Giraffoidea	Hippopotamidae	Cetacea	Canidae	Felidae	Pinnipedia	Musteloidea	Perissodactyla	Diprotodontia	Rodentia	Lagomorpha	Chiroptera	Eulipotyphla	Primates	Bivalvia	Cephalopoda	Gastropoda	Reptilia	Echinodermata	Amphibian	Chelicerata	Crustacea	Hexapoda	Other	Fish
	FOODON:02010328	piece(s) of {organism_base}	piece(s) of {organism_base} (raw)				One or more raw pieces of {organism}.																									scallop										cuttlefish
	FOODON:02010032	piece of {organism_base}	{organism} muscle tissue cut	'animal muscle tissue cut' and 'in taxon' some {taxon}	'piece of animal' and 'derives from' some 'muscle tissue'		A muscle tissue cut that is derived from a{n} {organism}.						goat|buffalo|sheep|lamb	pork																												
	FOODON:02010216	piece(s) of {organism_base}	piece(s) of {organism} meat	'has member' some 'piece of {organism} meat' and 'has member' only 'piece of {organism} meat'			One or more pieces of {organism} meat.			{organism} meat		chicken|turkey|duck|emu|poultry|ostrich 	veal|lamb|antelope|domestic yak|goat|buffalo|sheep|beefalo|bison|gazelle|water buffalo	pork|wild boar		elk|deer											squirrel										frog		crab|lobster			
	FOODON:02010217	piece(s) of {organism} meat	piece(s) of {organism} meat (raw)	'piece(s) of {organism} meat' and 'has quality' some 'raw'			One or more raw pieces of {organism} meat.					chicken|turkey|duck|emu	lamb|goat|bison	pork																												
	FOODON:02010002	{organism_base} material|embryonic structure	{organism} egg	'animal egg' and 'in taxon' some {taxon}	'shelled egg' or embryo		An egg which is produced by an oviperous {organism}.					chicken|ostrich|quail|turkey|duck|goose|poultry																							turtle|sea turtle							
	FOODON:02010003	{organism_base} material|animal egg	{organism} roe				An egg produced by a{n} {organism}.	Roe are eggs produced by fish or shellfish.	{organism} egg																																	pacific herring
	FOODON:02020000	{organism} roe	{organism} roe (raw)	'{organism} roe' and 'has quality' some 'raw'			A raw {organism} egg roe.																																			pacific herring
	FOODON:02010004	{organism} egg	{organism} egg (raw)	'{organism} egg' and 'has quality' some 'raw'			A raw {organism} egg.					chicken|ostrich|quail|turkey|duck|goose|poultry																							turtle|sea turtle							
	FOODON:02010005	animal egg (shell on)|{organism} egg	{organism} egg (shell on)	'animal egg (shell on)' and 'in taxon' some {taxon}	'shelled egg' and 'in taxon' some 'Amniota'		A{n} {organism} egg in its shell.					chicken|ostrich|quail|turkey|duck|goose|poultry																														
	FOODON:02010006	{organism} egg (shell on)	{organism} egg (shell on, raw)	'{organism} egg (shell on)' and 'has quality' some 'raw'			A raw {organism} egg in its shell.					chicken|ostrich|quail|turkey|duck|goose|poultry																														
