Ontology ID	parent class	label	Equivalence axiom	Subclass axiom	taxon	definition	definition source	Last Updated	Curation notes	created	contributor	Exact Synonym	Broad Synonym	French syn.	see also	hasDbXref	curation status	comment	image	term requested	EFSA Code	
ID	SC % SPLIT=|	AL rdfs:label@en	EC %	SC % SPLIT=|		AL IAO:0000115@en	A IAO:0000119 SPLIT=|			AT dcterms:date^^xsd:dateTime	A dcterms:contributor SPLIT=|	AL oboInOwl:hasExactSynonym@en SPLIT=|	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasExactSynonym@fr SPLIT=|	A rdfs:seeAlso SPLIT=|		AI IAO:0000114	AL rdfs:comment@en	AI schema:image			
FOODON:00004446	winter squash	Mexican grey squash				A whole Mexican grey squash.				2023-06-20T21:50:47Z	https://orcid.org/0000-0002-8844-9165											
FOODON:00004447	Mexican grey squash	Mexican grey squash (raw)				A whole Mexican grey squash which is raw.				2023-06-20T21:50:47Z	https://orcid.org/0000-0002-8844-9165											
FOODON:00003600	berry fruit	avocado	'berry fruit' and 'in taxon' some 'Persea americana'		Persea americana	A berry fruit of an avocado plant (Persea americana)	https://en.wikipedia.org/wiki/Avocado			2021-02-10T22:52:57												
FOODON:00003601	seed	amaranth seed	'seed' and 'in taxon' some 'amaranth plant'			A seed of an amaranth plant.				2021-02-10T22:53:51												
FOODON:00003602	tuber	arrowroot	'tuber' and 'in taxon' some 'Maranta arundinacea'		Maranta arundinacea	A tuber of an arrowroot plant (Maranta arundinacea).				2021-02-10T22:56:30												
FOODON:00003606	berry fruit	black currant	'berry fruit' and 'in taxon' some 'Ribes nigrum'		Ribes nigrum	A black-purple berry fruit of a black currant plant (Ribes nigrum)	https://en.wikipedia.org/wiki/Blackcurrant			2021-02-10T23:21:23		european black currant										
FOODON:00003607	pear	asian pear	'pome fruit' and 'in taxon' some 'Pyrus pyrifolia'		Pyrus pyrifolia	A pome fruit of an asian pear plant (Pyrus pyrifolia)	https://en.wikipedia.org/wiki/Pyrus_pyrifolia			2021-02-10T23:22:08		chinese pear|japanese pear|korean pear|oriental pears|pyrus pyrifolia|sand pear|taiwan pear										
FOODON:00003608	pepo fruit	banana passionfruit	'pepo fruit' and 'in taxon' some 'banana passionfruit plant'			A pepo fruit of a banana passionfruit plant.				2021-02-10T23:23:48												
FOODON:00003609	drupe fruit	bayberry		'in taxon' some 'Myrica'	Myrica		https://en.wikipedia.org/wiki/Myrica			2021-02-10T23:24:28												
FOODON:00003610	grape	black grape				A berry fruit of a wine grape variety which have deep red or almost black skin.	https://en.wikipedia.org/wiki/Grape			2021-02-10T23:25:26					https://www.winefrog.com/definition/314/black-grapes							
FOODON:00003611	drupe fruit	black walnut	'drupe fruit' and 'in taxon' some 'Juglans nigra'		Juglans nigra	A drupe fruit of a walnut tree (Juglans nigra)	https://en.wikipedia.org/wiki/Juglans_nigra			2021-02-10T23:26:28		eastern black walnut										
